First Name,Last Name,Company Name,Title,LinkedIn URL,Priority Tier,Confidence Note
Tom,Rose,TriNet,"Senior Vice President, Customer Success and Operations",https://www.linkedin.com/in/tom-h-rose/,2,"Confirmed via TriNet press release + LinkedIn + Crunchbase + Bloomberg + TheOrg. No Chief Customer/Client/Service Officer exists at TriNet."
Jeffery,Hayward,TriNet,"EVP, Chief Service and Technology Officer",https://www.linkedin.com/in/jefferyhayward/,1,"Confirmed via TriNet's own leadership page + Crunchbase + TheOrg + PRNewswire appointment release. Note: no COO role currently exists at TriNet."
Alex,Osborne,G&A Partners,Vice President - Client Success,https://www.linkedin.com/in/osbornealex/,2,"Confirmed via G&A's own official leadership/bio page + LinkedIn + ZoomInfo."
Jeff,Williams,G&A Partners,President & Chief Executive Officer,https://www.linkedin.com/in/jeffreylwilliams/,3,"Effective July 13 2026, succeeding founder John W. Allen - strong timing signal, brand-new CEO. Confirmed via BusinessWire + G&A's own press release + trade outlets. LinkedIn matches his prior role (Aptia US President & CEO)."
Nicholas,Smith,Vensure Employer Solutions,Executive Vice President of Client Experience,https://www.linkedin.com/in/nicholas-smith-1275ab8a/,2,"Confirmed via TheOrg.com org chart + LinkedIn + press mention."
Pat,Cleary,Vensure Employer Solutions,Chief Growth Officer & Board Member,https://www.linkedin.com/in/pat-cleary-638ba94a/,3,"Former President/CEO of NAPEO 2011-2023, high-profile industry figure. Appointed Jan 2024, confirmed via BusinessWire + VentureBeat + Vensure's own LinkedIn announcement. Note: a 'Chief Client Officer' role at Vensure is still just an open job posting, unfilled - do not use."
Jay,Starkman,Engage PEO,Chief Executive Officer (Founder),https://www.linkedin.com/in/jay-starkman-7b44a21b/,3,"Confirmed via direct fetch of Engage PEO's full leadership page. Founded the company in 2011."
Steve,Scott,Engage PEO,President & Chief Operating Officer,https://www.linkedin.com/in/steve-scott-7615402/,3,"Confirmed current on Engage PEO's own bio page, which links directly to this LinkedIn profile. Promoted to President Jan 2023; recently named NAPEO board vice chair."
Gerald,Blotz,BBSI,Executive Vice President and Chief Operating Officer,https://www.linkedin.com/in/gerald-blotz-4915a07/,4,"Confirmed via BBSI's official investor relations management-team page + LinkedIn + RocketReach."
Gary,Kramer,BBSI,President & Chief Executive Officer,https://www.linkedin.com/in/gary-kramer-83916b40,3,"CEO since March 2020, joined BBSI as CFO in 2016. Confirmed via BBSI's own investor relations page + Bloomberg + Fintool. CAUTION: LinkedIn URL is moderate confidence only - a second, unrelated 'Gary Kramer' (Advisor, A2 Energy Partners) also exists on LinkedIn, do not confuse them - verify before use."
April,Savino,Atlas HXM,Chief Operating Officer,https://www.linkedin.com/in/aprilsavino/,2,"Confirmed via ZoomInfo + LinkedIn + a 2026 Atlas HXM event appearance as COO."
Jim,McCoy,Atlas HXM,Chief Executive Officer,https://www.linkedin.com/in/jfmccoy/,3,"Appointed CEO Dec 2023, succeeding founder Rick Hammell. Confirmed via Atlas HXM's own press release + LinkedIn."
Guillaume,Brunet-Mingaz,WorkMotion,Head of Customer Success,https://www.linkedin.com/in/brunetguillaume/,1,"Confirmed via TheOrg's WorkMotion Customer Success org chart (11-person CS org, team lead)."
Felix,Steffens,WorkMotion,Co-Founder & Chief Executive Officer,https://de.linkedin.com/in/felixsteffens,3,"Confirmed via WorkMotion's official company page. No dedicated COO exists at WorkMotion per official site."
Lina,Szaks,Horizons / Remote People,Chief Operating Officer,https://www.linkedin.com/in/lina-szaks/,2,"Confirmed via LinkedIn + TheOrg leadership-team org chart post-rebrand."
Antoine,Boquen,Horizons / Remote People,Co-Founder & Chief Executive Officer,https://fr.linkedin.com/in/antoine-boquen,3,"Confirmed via Forbes Business Council profile + his own LinkedIn tagline + multiple 2026 press releases covering the Horizons-to-Remote People rebrand."
Aleksandra,Mitrevska,Native Teams,Co-Founder & Chief Experience Officer (CXO),https://www.linkedin.com/in/aleksandra-mitrevska-6b846a166/,1,"Confirmed via Native Teams' own company blog + LinkedIn + The Org/Crunchbase/ZoomInfo."
Jack,Thorogood,Native Teams,Founder & Chief Executive Officer,https://uk.linkedin.com/in/jackthorogood,3,"Confirmed via Native Teams' own media room + LinkedIn profile + a 2026 Seedblink interview."
Sivanne,Fishel,Papaya Global,"VP, Client Success (Global Enterprise Accounts)",https://il.linkedin.com/in/sivanne-fishel-805993218,1,"Confirmed via LinkedIn + ZoomInfo + a live 2026 SaaStr AI Annual conference appearance."
Eynat,Guez,Papaya Global,Chief Executive Officer & Co-founder,https://www.linkedin.com/in/eynatguez/,3,"Re-verified still accurate - LinkedIn tagline currently reads CEO & Co-founder, recent 2026 posts confirm active in the role."
Dave,Lanni,ADP TotalSource,"Vice President, Client Services, ADP TotalSource",https://www.linkedin.com/in/dave-lanni-4b80519/,2,"Confirmed via LinkedIn + ZoomInfo."
Brian,Michaud,ADP TotalSource,"Executive Vice President, Human Resources Outsourcing (ADP TotalSource) & Smart Compliance Solutions",https://www.linkedin.com/in/brian-michaud-0b3b762/,1,"Business-unit president over the exact PEO division. Confirmed via ADP's own leadership page naming him as leading ADP TotalSource."
Terry,Sukalski,Paychex PEO,"Vice President, PEO and Insurance, Paychex (also President of Oasis, a Paychex Company)",NOT CONFIRMED - a same-name LinkedIn profile was found but at a different employer, likely a different person - do not use,2,"Identity/title confirmed via Paychex's own newsroom bio page + Crunchbase. LinkedIn withheld to avoid misattribution."
Liz,Roaldsen,Paychex PEO,"Senior Vice President, Operations and Customer Experience",https://www.linkedin.com/in/elizabethroaldsen,2,"Full name Elizabeth Roaldsen, CFA. Company-wide CX role, not PEO-division-specific, but directly owns the customer experience function. Confirmed via Paychex's own newsroom executive bio + official press release."
Iarla,O'Carroll,Remote,Chief Operating Officer,https://ie.linkedin.com/in/iarla-o-carroll-29512a12,2,"Confirmed via Remote's official /about page + LinkedIn + Clay.com + TheOrg. Previously held VP Customer Experience himself."
Chris,McNamara,Remote,Chief Revenue Officer,NOT FOUND - LinkedIn URL not located,3 (weak fit),"CAUTION: no genuine second CX/CS contact exists at Remote - O'Carroll (COO) directly owns support/CX/success with no separate named head below him. McNamara is sales/BD, not CX - offered only because a second name was requested, not a strong fit. Consider single-contact for Remote instead."
Eleonora,Guagnino,RemoFirst,"VP, Customer Experience, Growth & Operations",https://www.linkedin.com/in/eleonoraguagnino/,1,"Confirmed via RemoFirst's official About Us leadership page + an independent interview."
Volodymyr,Fedoriv,RemoFirst,Co-Founder & Chief Operating Officer,NOT FOUND - no verifiable LinkedIn URL,1,"Identity/title confirmed via Crunchbase + TheOrg. LinkedIn genuinely unfindable - RemoFirst's own site links to a dead placeholder (#) instead of a real profile URL; 7 same-name LinkedIn profiles checked, none match."
Luis,Franco,Oyster HR,"SVP, Operations (best-available proxy, not an exact title match)",https://www.linkedin.com/in/lcfranco/,1,"Actual VP of Customer Experience (Amanda Greene) left May 2026, not backfilled. Franco is the most senior current operations exec."
Hadi,Moussa,Oyster HR,Chief Executive Officer,https://www.linkedin.com/in/hadi-moussa-6985503/,3,"Appointed Jan 13 2026, succeeding founder Tony Jamous (now Executive Chairman). Confirmed via HR Brew + BusinessWire + Oyster's own announcement. LinkedIn URL inferred from his own post - verify before use."
Matt,Drozdzynski,Plane,Founder & CEO,https://www.linkedin.com/in/matid/,3,"Also goes by Matt Pelc in some legacy records - same person, verified. Confirmed via TheOrg.com + Sacra research interview + Crunchbase."
Aleksandra,Chalfen,Plane,Chief of Staff,https://www.linkedin.com/in/aleksandra-chalfen-210998a2/,4,"Confirmed via LinkedIn (references Plane's former name 'Pilot: Hire Anywhere', confirming continuity) + TheOrg's Plane org chart + Craft.co."
Alexandria,Warren,Velocity Global / Pebl,Vice President of Customer Experience and Delivery,https://www.linkedin.com/in/aprain/,1,"Confirmed via TheOrg's Pebl Customer Success and Operations team page + LinkedIn/web search snippets."
Dutta,Satadip,Velocity Global / Pebl,Chief Business Operations Officer,https://www.linkedin.com/in/duttas/,2,"Elevated from COO to this role in a June 2026 leadership reshuffle, absorbing the COO scope. Confirmed via Velocity Global's own press release + Nasdaq + Yahoo Finance + TheOrg + Crunchbase."
Nat,Natarajan,G-P (Globalization Partners),Chief Operating Officer,https://www.linkedin.com/in/natrajeshnatarajan/,2,"Full name Nat (Rajesh) Natarajan. Confirmed via G-P's official leadership page + PR Newswire COO appointment announcement."
Nicole,Sahin,G-P (Globalization Partners),Founder & Chief Executive Officer,NOT FOUND - LinkedIn URL not located, manual search recommended,3,"IMPORTANT CORRECTION: an earlier candidate, Bob Cahill, is confirmed to have LEFT G-P (now President & CFO at Updater per his own LinkedIn). Sahin returned as G-P's CEO in Feb 2023 and is confirmed still CEO as of a January 2026 G-P press release. Use Sahin, not Cahill."
Willson,Cross,Borderless AI,Co-Founder & CEO,https://www.linkedin.com/in/willsoncross/,3,"Confirmed via Borderless AI's own About page + LinkedIn + ZoomInfo + The Org + independent press."
Dan,Miller,Borderless AI,Director of Customer Success,https://ca.linkedin.com/in/dan-miller-852b6910a,1,"Moderate confidence: location (Toronto) matches Borderless AI's HQ exactly and no competing candidate found, plus ZoomInfo confirms a @hireborderless.com company email - but direct LinkedIn profile fetch was blocked (bot detection), so the on-page title could not be visually confirmed. Treat as moderate, not fully verified."
